ESTIMATED_CO2_TOTAL_TONNES,OAG_SCHEDULE_FINGERPRINT,DEPCTRY,ARRCTRY,ELPTIM,STOPS,DISTANCE
17.713,d396948d1eb6b4bca9c69275c095531e818bd624f1dba71cfc862a40fe8d953f,AU,AU,220,0,858
73.839,a57959dd561071cb877c0517d7388f5130ef81a116deb3934564900507462a8f,AU,AU,405,0,1678
4.799,8d4af278878191469cc23b4ab3e94dd2be04bf11eb612d20bc3d5fdad7bb73b8,IN,IN,110,0,173
15.403,a2931dffdfad691d9b0a2ce53db1baf32c0ee943709cf2c7b1e1fbf4276629df,IN,IN,210,0,759
5.842,a288888603767a106620dde866b25f9b776cedc23811e854f5a17adbb0d02f9e,IN,IN,110,0,321
12.186,2e68e8fea2a7ea4d6b99f187de81d300e148f7d0e851746b69af0c7394bfdd90,IN,IN,155,0,684
10.497,b1e93e5aa828e5665d72bb3935addba39a20d43cf6b554701fba07aae9f3f09f,KR,JP,140,0,432
7.271,e255d6978beceb633e110a601ae690e050e37e63860d29608070d2d8f1c6a387,TH,KH,115,0,313
14.766,8441299c50666fbaa6f27af715e46cb7889840a754ab928c85717e5743db76be,CN,CN,210,0,740
9.293,437c01451baaea2584ff9811d19bf08b6f9f493fcd6728e8631b180bb1f54614,MM,TH,145,0,625
,1ae4c0965c28743a7b9e835a35eb36266b07269ba71709c70a865eb1cf537434,KR,KR,51,0,29
15.723,efa30e1596e2a8e1b693287484ff1d72bf05cd232fc49cb28c5cf7c5f45679d2,VN,VN,210,0,772
6.64,9db14eb05bf28c7999e65a11b8745bd927076f00c4ce56def6d0445f3b71a32c,GR,TR,130,0,344
13.208,ecc688dfa538c5a16fd78e981fa19ff5453065af7bc6ff79308eb2665221bd63,AU,AU,155,0,723
10.185,d2c1cbad0b9c8200038ac32efa351482a8ff734674776fee9a5fe7db7cc03e4a,AU,AU,135,0,468
10.185,2191ece9fb8a3cedffd68163f0cda4f3fe7d0eddafd6569978a932752ed87383,AU,AU,135,0,468
14.466,e889ba01a8d82a31a131a8a993991dcd324e9a641ae42934b66e75d7998103b2,AU,AU,205,0,723
47.523,cbf84a9d48bb8e0b2b3803eb3142f6e334b3d35f9cafe7fb8325f02da27a8ac2,QA,TZ,550,0,2330
7.241,af951a0f7466262b1c640e1e036cc66660e49b2699bd51f29511adc58c4028cf,NZ,NZ,105,0,298
7.851,34107eb8dc0c913b022d3c484ee3cd578954428bd82f59d456471789ac998673,IN,IN,140,0,470
14.677,c489803b82603bc021ddca43777ba05a16c2a660b76c39495502ee4c9fe82651,AU,NZ,300,0,1205
5.649,b5395a43a74512d51881bb6997b6277e7cefccce0cd22088b56f42fbcbf35a37,AE,BH,120,0,303
31.014,33e6fb740fe31399f7b4eac77e8181cac5620d6f5ae9e719b203f02a24543f21,AE,SA,130,0,356
107.313,913923986d11cebab73ea10acc176592599eeea53d4c9bf2672c52909ed0a61b,AE,SC,425,0,2068
1.247,334badf9c86f7a510427a261f900e4f8d6cb7518d480f8971fd8fb36e4de4648,TW,TW,45,0,79
5.176,3f1902ca9a90176da6170e3bb6922ff97026240ae12f53745ea68005ba1f3085,IN,IN,105,0,226
14.305,56a70312d2eef57e4aa4d4c8a0a68b112422f8ab258b3d97154420c1158a96d4,SA,SA,205,0,748
78.455,576c2c654c78c5a80c2ed0a4884560f777e6a27da1e595e4ddfcca8c7acccb4c,AU,SG,505,0,2431
196.559,4e3f6384015c1d7287f163998f8a46b75758697dc16de8ff606fd609ea7df24f,AU,SG,815,0,3911
17.504,569c005f3fa91fc270cad2b155e07f7fc85924b5e31a64ba786766f3ba3e54f1,MY,MY,225,0,853
7.838,237e6aed48f9882496ddc368dfeab2f46e032149fa651d0209e8eb09301d9c09,JP,JP,105,0,197
18.653,9189de6a06f2956c0a2fb9d62bd201ab5f963fafdefe655a4df4b30b4b6c4a81,CN,CN,305,0,983
9.508,3b096ef306e2547f1ca86d46776553b3c0af467962ef6086ae02c28c8a849aa6,CN,CN,150,0,564
80.372,d140b3d4fe9e79f92010920bbe61242968286d505c2a44b15dcbf71b8117a152,JP,VN,625,0,2687
8.538,843a45366106003c1f3ea15372768f520e7fa26da3b7b35e0efc7962a3e6ea15,JP,JP,125,0,361
6.072,90afdb51fe2fd5c4171231ba6af569de24f314a544ebdab3686a4f4a60059e10,JP,JP,100,0,175
78.731,e91a5484ce15fe3ffa05e1444a40f0fd51da2b8c7ab52ec506b0a257d5be49f4,QA,KE,510,0,2083
26.203,b01c8adb96ba8699512c1cd8280d4a7a7915d971ab58ef0ff14a7d65346a9a38,SG,PH,335,0,1475
25.766,99bfcaa9444e2529e87022a3b4fd33959fa0a503b87293d1858482ecf5d4f953,JP,JP,115,0,268
,83758d02a0c36edabd9c331b6ec6962f827d2d80c620c0dd7e929048aaa0a7d2,AE,AE,200,0,84
12.095,3188e2c3b599f5bda341f5c3a4d86012c0096c8c260ee1aad5e748721d96fcbd,SA,SA,130,0,440
86.789,b39103c079d0bb01429714f7e6f13501515b728578e23806aa16b3b2b4c07117,SA,PK,445,0,2206
88.702,3fd7d6f0aa87ba9c87c3c8ac017dc279773d0f55aafb6feac1b17f81d85f2511,PK,QA,405,0,1396
289.541,6b0f72ae4a6b7556c0cfd9b64667aceef579c64617c0f375eb879454448f9fab,QA,US,1630,0,7668
76.774,95f42103e40b67291fc79d9eefbec4a84cb14cb0be058c5d457fb5dc8d1e9f50,QA,PK,325,0,1396
106.205,572edaa2cbb520441709bed2b2d60b509a01f3065c320baeeef294fd7266ee7b,BD,QA,615,0,2431
35.98,d1dc45df03cea0525d221fbc07f0677c19f47e8c5fad0b2816b5d9398c9c8bd9,MV,QA,455,0,2058
239.135,e38211e0b79619d72f1aee316a94ee5e0bfde2fea0f67ef90a0fa2538f52cbb0,QA,ZA,945,0,4631
176.408,e14038db7781f1eedb099ed46b63c2307a8ab9311d8ba2106ad35f15fb220f30,QA,GB,735,0,3257
24.339,0e5f05b6d14bd60d8d9f827c435fd52afdb8df960371547c08b973cccdb1e996,JP,JP,140,0,509
16.556,29812e3935c920b6c6525c0800aa9628adbbb7a3363743e8555a4b28ccd606de,QA,SA,225,0,747
109.089,50a40b43e0fdb627eac1a5e0c1694fcc9c2eb6890f5ecc878b72ababf3104424,QA,GB,735,0,3257
76.774,9dd5b8943bfce74ef69542d7b558d3e501917051745586894e6aa20d42a8e72d,QA,PK,325,0,1396
21.978,c2ec170ce109367afe6bda4fd7bc4697d5dfb9847afa945fa17183a979426343,AU,NZ,310,0,1384
9.895,5542bb767ac064e3145cd0797bb5c238f855a82f1f40f49c4d431b4a86f0ccf1,AU,AU,130,0,468
1.365,ce6b0eedf48c2a43ecc4ac0258d72e5df744084da5fb27b52db52a7d44dda967,AU,AU,55,0,147
8.224,3dc749b631a0e880962f8494de58197b8bb7c73da8fe3bf3e18ce031f6297831,KE,RW,130,0,471
189.051,f139363d93bf89d3e8d7b3c6197a7f6424ad31850cbf79c3aebe5631752f0243,FJ,HK,1025,0,5107
12.333,20a785b6711bf66f3b4b812172d6e210ac0c2b6c1f96208cfc4195a7cd9eff2e,CN,CN,200,0,590
7.549,1a5f8fd4790569274fec4293561871a150743708ca92350b318b4cda231fb9b0,NZ,NZ,110,0,298
10.032,d627e5c1ecb1ea4ae00421da4a7bdf39746968a6c0c46787823fab4f2c47a3cd,NZ,NZ,125,0,463
10.032,5f1adece5ad9fbfe573e3ba62264f13fc655b1e629bc35b1cbe3758515229dfa,NZ,NZ,125,0,463
58.628,522e3658e6eaa1f7c258928dc0998752b8249c37c2d69ba3777fcfc983276aa2,VN,TW,315,0,1372
42.435,92383115e301578b7f0b2462d364bfd2ea2333024f9e8869c2492c6057e789a0,MY,KR,450,0,2181
82.455,47f51b99fef1b218b606c2f2bdfc17b2ad75358342d6d4824b02528824dbb17c,JP,CN,315,0,1116
21.688,85fdc43bce690b88a1cdcdd00ee5d16939ed68793be7b1bb6dc643933a60deff,CN,CN,245,0,910
16.935,974cbae88fe0fa7bb6d2955c86b95867138ad3ed884796d04208605a72097518,CN,CN,215,0,776
31.183,e6eaf80c92aa898077ab95fdc2220cef6ba89a519b9d1ff29707653c0772ef2e,CN,CN,215,0,714
36.948,8a2a16f4718bad585640510b31715187ba11231468e34e041ca9c75acf5bd34f,CN,CN,240,0,766
14.028,c6a23b8f16a45417bc1bd56c27c4bb1d5cf5a72d87627720a5927d4c35d90f81,CN,CN,245,0,693
9.352,fe27dcaa7b72b45816ae8982291db3d8b18486f3bba78c8e715e7866afc9b058,CN,CN,145,0,529
23.412,77b543b25acf862ebff616e1e5da5339baa94ab0a6c4875e4f1b43e06e0df06d,CN,CN,330,0,1078
13.891,3c9b4cf999ee9674ce1256c68e2963a34c4815bf7ab80b3aa868b3c039215803,CN,CN,150,0,643
8.485,3c505f51ba4579c90834be5e0ff2ae897251ac4b2ac2a98941ac34a8d21e27b2,CN,CN,240,0,580
15.04,54e2c7c10f93190c082e311759f5d498e9bdafa2d2a611fa5da9ffad3b7e976e,CN,CN,205,0,705
9.11,77a52d7fb5ada1a4eb43b7adf70eed576fe76bf9c5272670fcaba9f3b1163846,CN,CN,125,0,275
152.891,c99f33db3e27a1bb5c2dc110c4767db790f74bf82bdd70e1170e00bd9788ec3f,TW,ID,530,0,2368
1.768,c15d5a3765d6261b157869150f4225584f8868b58ee03ba537f24535d0581d5e,JP,JP,105,0,188
233.519,d3f9fdd031cf5f91f90e4fcebf81d42d141f2e0e32cd297bb02a420b4359ad23,TW,NL,1450,0,5867
15.932,5d3953efc770a207537c585af95f1cd65b06c546097976c5946d58c2272c78fa,CN,CN,310,0,830
13.112,8d133750698ca40447d3ad59aca632d5f82f35f04c1cde97893d8c86377b0e90,CN,CN,215,0,730
13.346,3eec163e57b3b47f4928f41800df24e117bae00bc78d93827b9800dc4e186abc,CN,CN,220,0,672
10.228,9d1d453a288ad282d871f21bf9deb08643f37d8f4406ccf9357129579c482da6,CN,CN,210,0,532
11.888,e04e310b27bb64830bdefa3418e9e9fdd6f226421375d53a16f5dc976b793e81,CN,CN,140,0,490
14.971,b80c8a12425e693d22c6832e9ba1636619bfc74be172b54119954e6e56d22e48,CN,CN,205,0,676
21.171,770bb7ba24d9cd876462cbc5f3c25d1579216c09e9f256389df2aa0b07fd4895,CN,CN,325,0,941
25.471,553a28f154d929a21716c7f73929e760dd899368640c1971ff163a113df1f659,CN,CN,305,0,1003
14.032,250123076aceb46eac800a887774fe60d624c83dacaca68db56a0a96ba509dba,CN,CN,215,0,654
15.879,27300246182496fba405566973c7811d27b7d01d25491a73bf6f1a685ca86332,CN,CN,240,0,715
34.045,7b502bcfb95dcf5dff2dee0345db4e2039c1f946a37fa1be58b291925363a29e,CN,CN,400,0,1398
176.648,3075e9cd37550b7300b2a8b4b24378161c095468ecb523163f522a17a7a87acd,IN,GB,1030,0,4183
193.437,66be8a2ff0bd353eba38db03f53794d4f7bdb543e35bc352f0558ad7e0ce2449,IL,US,1200,0,5665
80.064,2706d49bfabbf03fda644674a0bcad137d0c9ef072ae8fe0cf8bf1cdb313b397,HK,KR,325,0,1286
28.396,b8ffe8520b81eb2bcfb8fff521b7027d0e17b293a9981ef7dcb5250a73b49b06,TR,AE,425,0,1882
48.574,74fd9dfb53dda0327097cd73c2820e57bc8c4ecd362506c30b73f684417b05bd,RU,AE,620,0,2478
122.776,ea962bc01eb59549471be0c35f7a46e7b4f9432d16ed21aed13992b8ea0de417,BD,AE,525,0,2198
67.502,6500a52876c467546bd1204d37f4b6d6f9e5bf6cf5cb3abcd054d34f99de01dd,AE,PK,305,0,1195
21.189,a64702c73fef3d2b6992d970c035716df9becc3a6fe55eff0350ff4848c1ede1,CN,CN,240,0,812
8.84,c91092066c92c51bf76b7f58b117505f4b67013a9333869c22b499723a38059a,AU,AU,120,0,380
21.289,b3bf0340c7e6888a9869e2f054902699e0240ae440bb78a2f90d2f614def3b8b,AU,AU,300,0,1186
235.043,2026b26065bddff3b71c0046ca907124de2063c702a4fd9b9a08c13132e84fa7,AE,ZA,950,0,4749
23.408,ea982af292ef5642748a48be515247bd9996956157b2822a33a85ca8eb45e83c,AE,OM,115,0,216
68.22,bd066b97c2ae252ef06dcd4daa23703e54972a34d9de44124c12c57dd6683464,AE,IN,230,0,1109
176.936,950c8559a584d91854a9629b0390e9194853d1c19d371e70cb9cfa1bc3358514,LK,AU,950,0,5193
24.734,4afe58d99248ed7ea34989b3cc768dbb38b45b67c481558f83426de5e211a13f,NZ,AU,345,0,1426
20.676,ffd1c05b580f16c30f19eaa5257a61d21def42c5cf3e4b36d2e66e200d81c670,NZ,AU,405,0,1609
9.791,d9c45e89ba12684fcef6dad1ccc54cb6906643fa57208156162f0601b829982d,NZ,NZ,125,0,463
9.155,57892c544436306c44e497b8e57fdb49375b57bd2175ec6de71303ebd3f7b9da,NZ,NZ,120,0,398
7.549,dbe2cdaf5b8d8c1761433e05cb9446c4de7bccce6de0efc22ce7dd7c7ba343c3,NZ,NZ,110,0,298
8.677,3f094942c2d52805aa9e918a8f40b8ae267af0aad606999a87a17de3522403ba,AU,AU,120,0,423
8.677,6a0b62144ef521069e48c3630295bb8aae63df5ddc749a7a4a1903a4136f077e,AU,AU,120,0,423
33.199,f7847bc28a85c6ca4dca5c68072acdb86c5972823ba309e58d7f40ca04f63bf6,TR,AF,430,0,2012
0.997,af0bd754d389877c667ae0c1d619945038b5ecf641769af2289a8ef23f87acc0,FJ,FJ,100,0,154
0.815,2bb2641508273ec7ba7f719b0a71f0e52cde945ca7b4b0fa43ada5cee3d9043e,FJ,FJ,45,0,100
20.409,65bddc3bf9097dee7e71f22f745bacfd7c3db2bcf93c4594d8ac0d429679dc69,FJ,KI,305,0,1354
1.088,29571543d54ae0db8012c8e508286622f604f432181fe680666ea6c580df0777,FJ,FJ,30,0,76
9.427,035d05e0e3aa3c0f470262176502d4e763b58844add98cb4844c46f442596634,NZ,NZ,120,0,463
1.062,1e4996017e9d2c1e07ae26de60bf92eb5ec47a276724c942a465e7ba64fbf0d8,FJ,FJ,30,0,76
71.086,84c3dec88d0706228072ab10d626f1e7b8d2af4a4bebe1ed74b5b8e686178f50,FJ,AU,430,0,1970
37.276,d0a5a2e8ab07c53d4909e8f63d6769befb9fbe5b55e066f7200f24a317382a46,FJ,AU,615,0,2663
36.532,2e1b11652abb8b659ab2aaa82fad00afaee5ee3d91d0a8d9cb420d01749c4a58,KR,CN,215,0,511
38.539,de215af4b321090196f0152f5e31593885c50a6b3435db54701ab317a65701ba,TH,CN,435,0,2196
20.161,1ba5ba2b29fda98a5502f28eae2438bdb61e5ed459265ad185e595edf4ecff64,CN,CN,240,0,1025
8.043,2c2529951c33f1fcc89da2df170bf85033a88284d2bdb141b3cdaffd14a78a78,CN,CN,150,0,716
35.809,cdd75c72ac97e586bdeef7d3b5ffd4fdc539982ffe2ebcb40d8b1dd236839517,LK,AE,440,0,2038
11.824,b801c1f18269cc2df8b53f90cdd9ea9f32e43d9ce2939218be609dc82ef56030,ID,ID,145,0,530
17.511,d964cd307e690202d632afb6fe00428ba130b5692411ffbb4a5e99ffdfbf6484,ID,ID,225,0,862
83.734,2154450c659f5732128377f0bb218fd879233f29ddb1ebd4fcf1084df42efc68,SG,TW,440,0,2002
115.231,df966335c12448f7449213565b988e7d46e551ae742d0063f0aecbc4ebcfa9fd,BH,MA,745,0,3480
171.241,f46621bb135a41875a81274e9ea3693dc4b6ca7da801f387a52f570566a9c09e,VN,AE,740,0,3196
11.658,320759ecb70e5cfe6bf81e95356728bc2802e8c3a434f7b9fcde320cc18b11ee,BH,OM,130,0,514
14.944,429900bd745512994f18feb7867239e0e9079f4911c6287e27529f3394cf32bc,CN,CN,210,0,551
18.829,3947669c041df3c8279374b16c59bcd2b5aaf850f5833b7cf1f87d907a2e4795,CN,CN,240,0,876
17.932,51d3f4ecbea95812aa9fa797979cb4c09f2f1632bad89d7cf959f2193d64a37e,CN,CN,240,0,836
15.714,9f98c79c1d42e6e338d466be53b1b52d98ac4dd3a6d34f88ed437e7ffff349ab,CN,CN,235,0,741
16.29,c4667a4329e1bcd9ff45428aaa15afb48ed1a0ac17a0aae6af503a1818710f56,CN,CN,230,0,722
13.252,ee6ad8042c7f21c49dce681cc31fc34e954068172e6e4569bd5c2580e4cb4217,JP,JP,215,0,619
8.346,7e105c04e2545fddb543d2918f7021fb0f1d18bfccf52ec0abcc5e69adc83af3,CN,CN,135,0,349
20.282,b2dcba35cdf3b57ff36e4805ed48beb0ad3077d4e9d93e00e8cac492537f2f9e,CN,CN,245,0,892
18.719,d4bea72af599bfb575e67f504ea9aaa048d0b38bb5f84b089efca998806c6fe1,CN,CN,250,0,999
10.344,f5b7b450eeb5943c38615fc92df3ad7d532ebb08cf244bcca77002ed22333cfd,AU,AU,135,0,468
10.344,526e0197a0b1c2a0d11efa3b0e9e9fc482ceb13a792993e7df1d50b32ac3e1ca,AU,AU,135,0,468
8.493,b974cd0b4eaae786d594b20de8699c0989dda5370e56e1aba514be41c768388e,AU,AU,125,0,438
8.677,dcfc3d7512b638c68abdb0fd3c6c7520a129403613cd8a6c424b03d745fd8b2d,AU,AU,120,0,423
34.963,031e60e9832baf037bbcd96380adaf4195911fdec5606d4f28273dfa3d0cde06,AU,AU,505,0,2036
6.072,8bbd583f9ff89b08b77c658805a2a61f91552312ba40e226cd2130f057917429,JP,JP,100,0,175
9.75,e7b6f3c74042a4d90378bd4096901774e754b80aea056e74090fdded9aaaae81,JP,JP,130,0,495
27.752,790793598062721d0f9a3c64c4ab84ad75f1f6ff2973430af268cd9a1674706f,JP,JP,205,0,548
27.785,7b395c65ed36477126cd1c625098b4a5239550f0494bcf4ddc8b94fda432abfe,JP,JP,155,0,581
7.159,17163288afecf1ef9745467d88ccc2ad3be70ffa2601074b4486962d471cd16f,JP,JP,110,0,211
12.044,facd833a36ccb9b3d9977140e06841103ccfce50d8872a0c852c239674f68cff,HK,TW,155,0,501
23.176,ce7638c684e808f117b286161e7a7062cb6c59742dd063184d41940fd7aecd5c,CN,CN,330,0,1106
18.011,714a2e3ad537d3a798c02840adb0535e862462e174d90f9a0abeb6637910bc95,CN,CN,245,0,913
27.356,abf3c6f14145d8a5b823458577cdf920bb9531c13bf547ad87e4a61a10bfd42f,MY,CN,520,0,2267
28.349,7734722f215dc86649643ea9a8e697f5588fc2d3e533f12b310bbb19def9c969,LA,CN,230,0,773
27.892,64bfb7f6951eb705446a2ffdb7e48949385e3d920eb16a65a5b3d5467f73f131,CN,CN,215,0,717
195.788,aab407c07ca9f4c52f75368b677b83d9fa6e222eec3c7e028cfa82e5cb414f8c,CN,ES,1300,0,5847
14.169,ccd68eac9b27ef2ea96933fbb5ff64a5f580928a7cceafefaaa7bfaa42aedae6,VN,CN,210,0,679
164.094,208d2ee2ddb948ac1e07c51e3f8405b25959e97659d84faae471380eea84d897,CN,AU,935,0,4586
15.503,bb6d320e137b25e1f695e74779e8558d8f664a330fbf22377184b1a04ff753b6,CN,CN,230,0,780
190.495,f618c995977434d7e7b224a18ea4fe7299105670224c95cadd0ba26a0c2d8279,CN,CA,1130,0,6366
13.852,71add4309dedcb7c2644d0459d0392f389ecebf3f04191d095c30f98d706ca1f,CN,CN,200,0,621
8.173,60ea4e99b1b70bf84a8017dcb211b7e467830304d1c0303123c8e9beef6aad37,CN,HK,125,0,277
21.559,6c0c68a3230d205600a46b38ce4de7fd406a1a18c8f822b1bf58b1d9b1939b20,CN,CN,325,0,1153
19.761,5786e62695e4fb524f64799fcb61799fa1d3fc7cdff8299eb4fe73be96d54a70,TH,HK,245,0,1049
22.906,65d0f1ec9556ed17c22a8ca3729c1be330254b939152db6e582e64f8ca34bc24,UZ,RU,415,0,1749
7.104,24f22179f026d60df7c271eefdce64ab8ac72024374e00f2e180b80e0ba8acfe,RU,RU,230,0,550
3.549,8ac20d5df0769e98f78f6995ee810a0b49d6442ce16f44ff67c74e520330aeea,RU,RU,210,0,458
16.369,e33785af35f065d5091dede7362deb664fc7ca82ab1168fa3581cf2a0f44f6f3,CN,CN,220,0,1018
125.353,cc44159e9d4cd401667587f6413f67e3ff03003fa30cc55c81d7a802091d7cc2,TH,QA,735,0,3281
7.672,9c4456af8f28c01c89ae3b37d052d6dc6f76358e0c41e3d4a6d36acd179300a1,JP,JP,105,0,268
7.159,ca6b3d6a9b3f117553d9247f141a292744e3bd9bca9f6aad9de80ff8d3f169c5,JP,JP,110,0,211
3.435,68a5546d1206f8bd867c942c89bb4a6aab82589c8a17b431fd6470cc77531fb0,JP,JP,55,0,132
1.987,0b14ecd2b4fcbd80ef5dd9ce1b4fe918baa2892e30c15b13356fbbe713f69edd,JP,JP,115,0,241
10.87,2eb0b1fde859b75e2cecad966647cc94a7293e4f72e3d71b9ee4990cfa46ff3b,JP,JP,150,0,510
131.901,8b8ef2805483c0589aec8bf6da29bcfe0a0b587efece6ab23627975e2cd876a1,ID,JP,710,0,3486
14.688,62ac1301e48a6a22fff2a62f72b19e0c4602c4661fb3910f6ea5b37a4235b495,JP,KR,250,0,751
11.146,8aab28ed47d483170056f2886f912168b341e3f165e3f87da0e14cf6aafa3188,JP,JP,135,0,568
10.889,3edd409690d80a7d565535896180c8961402b9aa2053f241f47b3789e8d3764c,JP,JP,150,0,456
22.802,2502e035968b39fafc95089c909e37a3e564cd5c59c4e55d34d3b231fbf8b060,NZ,AU,315,0,1205
16.74,418f5095d9fb567861c8af61f6e36784ccb60cc51128da1131782b0800a01453,AU,AU,220,0,858
31.954,48e82bce8298ae6a399d3ca44467f31739e10790d87c3edf58a96464ebf9a087,AU,AU,430,0,1960
16.659,328501f2fdfbde894ce28bfb4f2ad5443f86dced4d9ed9c24060c7cb5f495a5a,ID,ID,220,0,862
17.239,deb7439538ba53ab9924a434effa488ad7a0cdd9bb3fa0715e5c6ba2c1e1b3a4,ID,ID,225,0,890
4.254,bef2b0ee2c047889aed01e2dd7f249d56f735b43d6ac9a584aeaf1d1ba16a8fe,KR,KR,100,0,197
6.335,c617eb185569fa8ff01cd083dfc63a7a32225b3684b2f4dad68d389d46500412,KR,KR,100,0,206
7.759,186e26f870a0224f8f026600f35ed9f15008cde5fa77bc128cdf6b46181265d5,KR,KR,110,0,280
28.288,47acd485ee51fcabbe080e985f7d55ba94accaaece6fb212d71b314ee634d4c2,PH,KR,350,0,1581
13.375,c35b10b6513c2d0f0bb8e63a3b87bb357949b3d9ee45ba6de6b0a62e75d50656,KR,CN,150,0,360
170.154,e0ed33f883a0b8f7812169a543c7bd2167cd2b4482dca7fafda9159d9e556caa,IN,NL,1030,0,4780
21.448,9b8147f0c7c47374624c5baaf6390ecfa50ae13ae448a9701f5d426265c40c5c,CN,CN,240,0,1047
10.461,34ba663ab2983727e7faa559171b67899effff5260c6d1aa09cd47e8b1915668,CN,CN,130,0,387
21.695,185fd37731ea0a5f024dfbc581b943a1058f5761e48057c141f3845c434de17f,MG,KE,320,0,1403
119.42,6e43c4c784ad502776cd327041bfddd912264f3e56487cd27ad201c804d70ebf,KW,BD,500,0,2635
1.465,cee9b7b07f02e1b5341498cdae72f00da899e4061f7ee3a9217dfaf57273662c,AU,AU,55,0,147
97.185,2c2af8c37b41dad8e3665c1bd6dae8c9cc3eb729c254cb76d96bc6e2d788bae2,QA,VN,620,0,3429
63.572,b1d082955ce30f1a12a7ad0e681bb0e67ed729ecc7f041f5baa90b427ebed3dc,LK,QA,505,0,2245
1.465,3b177bc7f5418e52595b5a7e9893c515217c5c522d282c2924d77db64eb63443,AU,AU,55,0,147
189.415,38732cdf3a0c293f52fb6c7a55c44f2bd78f8a429ed36732cf1137c1c823014b,QA,HK,725,0,3909
21.165,1729e703d6270b26dde027f4ce4ad8b92a4765189e52da03ac8b80c55855fea1,JP,JP,130,0,543
135.129,99337df7e53f152431c76d237a8d142b756ee6ac4d2abc3e0de1d96f6248f5db,HK,AU,905,0,4606
,a0666444e0212a615bf0e7799339091a1c3078401a9abb2eb62d41501efbe9a5,DE,DE,700,0,186
18.813,2012e9bb0dd0d4ae7dfdef4632d043094793e0dd68073f0500c523ad379f626b,MT,IT,220,0,739
10.072,a2c9491d1cc5551f6ed9d8140d79051016f700f22af75f986052b9bdf781a31e,KR,JP,155,0,535
10.177,54196f4500fb93da07c87707cbecdf9150b2b898334562bbb35faea4ce7024ee,KR,JP,125,0,359
5.76,0540044ee00e4cace4a8ab8b0b14ff393502b1df251dc20ef922e5c9a76e9240,KR,KR,55,0,112
7.759,aeaacec4ebb7c67f680358f0c6f40d31ec694a465ad7dcd9ca96bc00725673d0,KR,KR,110,0,280
26.531,1f2068b0c64bf3417914903a8d598d6ea82da5065f719669759715a3c91fdbf3,CN,CN,325,0,1008
112.463,2fa1f4049e5e1ce5d596d2836dd9b530e6108ec7bc75961344dfe249038fe379,SG,AU,750,0,3818
143.257,0143d68d4c63bb71e9bac453cbae384435279f2961cba54a327fd643b24518cf,AU,TH,925,0,4670
